rank;method_name;line_number;suspiciousness_value
1;org.apache.commons.lang3$SystemUtils#toJavaVersionInt(java.lang.String);1673;1.0
2;org.apache.commons.lang3$SystemUtils#toJavaVersionIntArray(java.lang.String,int);1717;0.9985250737463126
3;org.apache.commons.lang3$SystemUtils#<clinit>();104;0.9671428571428572
4;org.apache.commons.lang3$SystemUtils#<clinit>();127;0.9671428571428572
5;org.apache.commons.lang3$SystemUtils#<clinit>();146;0.9671428571428572
6;org.apache.commons.lang3$SystemUtils#<clinit>();165;0.9671428571428572
7;org.apache.commons.lang3$SystemUtils#<clinit>();184;0.9671428571428572
8;org.apache.commons.lang3$SystemUtils#<clinit>();206;0.9671428571428572
9;org.apache.commons.lang3$SystemUtils#<clinit>();225;0.9671428571428572
10;org.apache.commons.lang3$SystemUtils#<clinit>();244;0.9671428571428572
11;org.apache.commons.lang3$SystemUtils#<clinit>();263;0.9671428571428572
12;org.apache.commons.lang3$SystemUtils#<clinit>();283;0.9671428571428572
13;org.apache.commons.lang3$SystemUtils#<clinit>();302;0.9671428571428572
14;org.apache.commons.lang3$SystemUtils#<clinit>();321;0.9671428571428572
15;org.apache.commons.lang3$SystemUtils#<clinit>();340;0.9671428571428572
16;org.apache.commons.lang3$SystemUtils#<clinit>();359;0.9671428571428572
17;org.apache.commons.lang3$SystemUtils#<clinit>();378;0.9671428571428572
18;org.apache.commons.lang3$SystemUtils#<clinit>();398;0.9671428571428572
19;org.apache.commons.lang3$SystemUtils#<clinit>();418;0.9671428571428572
20;org.apache.commons.lang3$SystemUtils#<clinit>();437;0.9671428571428572
21;org.apache.commons.lang3$SystemUtils#<clinit>();456;0.9671428571428572
22;org.apache.commons.lang3$SystemUtils#<clinit>();475;0.9671428571428572
23;org.apache.commons.lang3$SystemUtils#<clinit>();495;0.9671428571428572
24;org.apache.commons.lang3$SystemUtils#<clinit>();514;0.9671428571428572
25;org.apache.commons.lang3$SystemUtils#<clinit>();533;0.9671428571428572
26;org.apache.commons.lang3$SystemUtils#<clinit>();552;0.9671428571428572
27;org.apache.commons.lang3$SystemUtils#<clinit>();572;0.9671428571428572
28;org.apache.commons.lang3$SystemUtils#<clinit>();591;0.9671428571428572
29;org.apache.commons.lang3$SystemUtils#<clinit>();610;0.9671428571428572
30;org.apache.commons.lang3$SystemUtils#<clinit>();629;0.9671428571428572
31;org.apache.commons.lang3$SystemUtils#<clinit>();648;0.9671428571428572
32;org.apache.commons.lang3$SystemUtils#<clinit>();667;0.9671428571428572
33;org.apache.commons.lang3$SystemUtils#<clinit>();686;0.9671428571428572
34;org.apache.commons.lang3$SystemUtils#<clinit>();705;0.9671428571428572
35;org.apache.commons.lang3$SystemUtils#<clinit>();724;0.9671428571428572
36;org.apache.commons.lang3$SystemUtils#<clinit>();743;0.9671428571428572
37;org.apache.commons.lang3$SystemUtils#<clinit>();762;0.9671428571428572
38;org.apache.commons.lang3$SystemUtils#<clinit>();781;0.9671428571428572
39;org.apache.commons.lang3$SystemUtils#<clinit>();802;0.9671428571428572
40;org.apache.commons.lang3$SystemUtils#<clinit>();803;0.9671428571428572
41;org.apache.commons.lang3$SystemUtils#<clinit>();822;0.9671428571428572
42;org.apache.commons.lang3$SystemUtils#<clinit>();841;0.9671428571428572
43;org.apache.commons.lang3$SystemUtils#<clinit>();861;0.9671428571428572
44;org.apache.commons.lang3$SystemUtils#<clinit>();880;0.9671428571428572
45;org.apache.commons.lang3$SystemUtils#<clinit>();899;0.9671428571428572
46;org.apache.commons.lang3$SystemUtils#<clinit>();917;0.9671428571428572
47;org.apache.commons.lang3$SystemUtils#<clinit>();943;0.9671428571428572
